wave length,direct light
556.17,34319.2
556.66,34651.6
557.16,34976.8
557.66,35200
558.16,35387
558.65,35506.8
559.15,35886
559.64,36108.2
560.14,36365.8
560.64,36606.4
561.13,37054
561.63,37072
562.12,37536
562.62,37722.4
563.11,38466.4
563.61,38674.6
564.1,38900.6
564.6,38847
565.09,39051.4
565.58,39282
566.08,39213.4
566.57,39791.6
567.06,39820.6
567.56,39691.2
568.05,40038.4
568.54,40163.8
569.03,40295.4
569.52,40381
570.02,40545.4
570.51,40586.4
571,40977.8
571.49,41234.8
571.98,41261.6
572.47,41556.8
572.96,41747.2
573.45,41445
573.94,42114.2
574.43,42259.4
574.92,41838
575.41,42053.8
575.9,42312.6
576.39,42459
576.88,42667.2
577.37,42360.2
577.86,42317.4
578.35,42432.6
578.83,42709
579.32,42740.2
579.81,42921.6
580.3,42960.4
580.78,43171.2
581.27,43272.2
581.76,43397.8
582.24,43463.8
582.73,43587.6
583.22,43746.8
583.7,43399.4
584.19,43393.2
584.67,43664
585.16,43759.4
585.64,43952.6
586.13,43939.4
586.61,43968
587.1,43993
587.58,43740.6
588.07,43922
588.55,44092.2
589.04,44415.6
589.52,45019.2
590,44665.6
590.48,44873.8
590.97,44866.4
591.45,44921
591.93,44793.6
592.42,45197.6
592.9,45434
593.38,45584.4
593.86,45885.2
594.34,46334.4
594.82,46121.6
595.3,46416.2
595.78,46531.4
596.27,46550.2
596.75,46906.8
597.23,46781.8
597.71,46346
598.19,46848.8
598.67,47015.4
599.14,47397.6
599.62,46978
600.1,47452.8
600.58,47834
601.06,47656.8
601.54,47586.4
602.02,47898.2
602.49,48233.2
602.97,48479.6
603.45,48611.4
603.93,48547
604.4,48875.4
604.88,48872.2
605.36,49238.8
605.83,49686.4
606.31,49613.6
606.78,49853.8
607.26,49486.4
607.74,49976.8
608.21,50527
608.69,50531.6
609.16,50462.2
609.64,50722.8
610.11,50683.4
610.59,50896.8
611.06,51057.8
611.53,50685.6
612.01,50938.6
612.48,51242.4
612.95,51288.4
613.43,51536.4
613.9,51449.8
614.37,51560.4
614.84,51597.6
615.32,51760
615.79,52060.8
616.26,52145.2
616.73,52191
617.2,51966.2
617.67,52259.8
618.15,52187.2
618.62,52401.4
619.09,52487
619.56,52412
620.03,52489
620.5,52532.4
620.97,52536.8
621.44,52147.6
621.91,52277.4
622.37,52448.6
622.84,52483.2
623.31,52167.4
623.78,52017.4
624.25,51761.8
624.72,51894.8
625.18,51832.2
625.65,51803.2
626.12,52043.8
626.59,51770.2
627.05,51730.6
627.52,51512.6
627.99,51958.2
628.45,51815
628.92,51869.2
629.39,51742
629.85,51787.4
