角度,移動量1(本),移動量2(本),移動量3(本)
246,0,0,0
247,3.3,3.7,4.1
248,2.6,3.1,2.8
249,2.3,2,2.2
250,1.5,1.6,1.5
251,0.6,0.5,0.4
252,-0.3,-0.3,-0.2
253,-0.9,-1,-1.1
254,-2,-1.8,-1.7
