角度,移動量1(本）,移動量2(本）,移動量3(本）
246,0,0,0
247,3.1,3.6,3
248,2.1,3,2.8
249,1.8,2,2.3
250,1.2,1.2,1.5
251,0.6,0.6,0.4
252,-0.2,0,-0.2
253,-1,-1,-1.1
254,-1.3,-1.6,-1.5
