length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
391.41,35.2,56.2,30.8,3.2,25.6,33.4,-7.8,55.2,-6.8,-1.8
391.97,48.4,69.4,40.2,63.8,18.8,37.2,-10,11.8,-25,22.4
392.53,47,66,32.4,-16,54.2,57.4,24,49.8,33.8,-39.8
393.09,20.4,24.4,55,37.4,26.6,6.4,21.8,41.6,1,0.2
393.65,69.8,56.2,31.8,58,62.6,46.4,29.8,45.6,-1.4,-25.2
394.21,59.8,58.4,63.2,43.8,44.8,55,32.2,43.2,-18.2,-9.4
394.77,47,53.2,56.4,44.8,68,35,29,28,13.4,-10
395.34,55.2,62.8,68,56.2,53,10.6,43.2,25.8,11.6,-12.6
395.9,62.2,78.8,54,48.6,46,30.6,56,55.6,10.8,16.8
396.46,57.4,91.6,40.6,59.8,56.4,54.6,37.4,47.8,26.4,0.2
397.02,30.6,52,30.4,65,55.4,63.8,23.2,11.2,38,-4.4
397.58,61.2,52,75.4,45.2,73.6,38,31.2,4.8,2.8,20
398.13,84,22.2,62.6,37.6,66,46.4,14.2,23.2,51.8,-15.8
398.69,56.8,51.6,56.8,69,61.6,26.6,44.6,20.2,33.6,33.4
399.25,33.4,57.2,101,72,81.8,43.2,53.2,49.4,19.2,-8.2
399.81,41.6,87.8,65.2,93,79.2,67.8,17,30.2,32.8,15.6
400.37,76,59.2,39.2,66,117.8,22.8,45.8,-15.8,26.8,25.8
400.93,69.8,37.6,89.8,51.6,81,51.4,26.6,32.6,31.4,-6.6
401.49,102,77.6,76.2,100,34.2,16,20.6,41,51.8,-0.6
402.05,56.6,84,47.4,77.6,18.6,42.6,36,12,-21,-15.4
402.6,87,103.8,52,61.4,80.2,76.2,67,45.6,-36.2,-29.4
403.16,73.4,80.4,70.4,95.4,75.4,87.8,47.6,64.4,6.6,-21.2
403.72,87.2,114,65.8,73.8,75.4,89.2,41.4,42.4,40.2,7.4
404.28,62.2,83.4,87.8,82,91.6,85.6,54.4,39.6,34.6,3.4
404.83,78.6,96.2,121.8,82,83.8,70.8,66.2,56,58.8,-17.8
405.39,99.6,88,96.2,92.4,74.2,57.4,74.2,51.2,35.4,-50
405.95,106.2,130.8,74,102.2,105.8,117,55,43.4,18,0.6
406.5,149.8,130,131.6,102.4,94.6,56.2,60,34.2,19.6,7.8
407.06,132.2,112.8,104.8,104,110.6,54,58,52,22.8,-8.2
407.61,105.8,121.8,95.6,95.6,106,93.2,54.8,68.6,8.4,17.2
408.17,157,106.8,122,114.2,92.6,114.6,61.8,52.8,21.8,14
408.73,147.4,151.6,136.4,64.4,55.6,99.6,35,86.2,80,16.8
409.28,100,127.2,118.4,89.8,88,76.4,86.6,57.2,28.6,9.2
