length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
525.43,2758.2,2756.4,2650.8,2426.8,2235.4,1948.2,1615.8,1167.8,505.6,-7.2
525.94,2817.6,2755.2,2636.4,2473.8,2263.8,1930.4,1569.8,1166.4,522.2,33.8
526.45,2901.4,2814.4,2672.6,2511.8,2239.6,1992,1606.4,1184.2,471.8,-1.8
526.96,2861,2832.8,2710.4,2518.6,2249,2054,1612.6,1181,528,-28.8
527.47,2862.8,2877.8,2741,2528.2,2302,2032.6,1718.4,1224.2,543.8,5
527.98,2969.8,2921,2795.4,2627.2,2280,2069.2,1733.8,1244.6,519.2,-2
528.49,2998.6,2940,2785.2,2585,2309,2097.4,1710.4,1203.2,562.6,13.6
529,3005,2956.4,2797.4,2567.6,2341.8,2070.6,1701.4,1259.6,527.2,5.8
529.5,3025.6,2958.6,2799,2587.6,2363.2,2104.6,1711.2,1228.4,569.8,4.2
530.01,3027.2,2962.6,2860.6,2684.2,2379.4,2085.8,1743.2,1289,542.2,30.4
530.52,3033.4,3005,2841,2656.4,2358.4,2095.2,1772,1306.8,539.8,0.2
531.03,3011.6,3043.8,2856,2602,2371.6,2096,1740,1281.4,551.6,11
531.54,3048.8,3007.4,2859.8,2690.4,2429.2,2136.4,1780.6,1321.6,531.4,20.8
532.04,3072.8,3063.6,2871.2,2686.8,2409.8,2155.4,1724.8,1321.2,511.2,-29.2
532.55,3051.4,3087.2,2922,2733.4,2486.6,2210.6,1730.2,1310.4,558,-26.8
533.06,3132.8,3074.8,2944.2,2766,2506.4,2162,1784.6,1363.6,570.2,-23.4
533.57,3126.2,3057.6,2969.2,2779.4,2496.6,2188.4,1811.8,1392.8,558,27.4
534.07,3185.6,3139.6,3015.2,2778.2,2539.4,2185.8,1843.2,1347,532.4,-3.6
534.58,3199.6,3173.2,2982.6,2781.6,2503.4,2216.2,1831.2,1343,541.8,-37.4
535.09,3228.4,3203,3073.2,2756.6,2508.6,2237.2,1822.4,1330.6,605.8,14
535.59,3273.6,3197.4,3028.2,2823.2,2594.2,2249.2,1865.8,1336.2,619,-8.6
536.1,3239.8,3234.6,3054.8,2883.4,2602.8,2295.8,1908.6,1400.2,588.4,54.8
536.6,3262.4,3268,3065.4,2896,2610,2303.2,1887.8,1383.6,603.6,-3.8
537.11,3217.4,3199,3069.4,2893.8,2627.8,2314.2,1875.6,1367,585.6,-0.8
537.62,3282.2,3254,3109.6,2867.6,2639.8,2354.2,1943.4,1391.6,595.2,22.4
538.12,3316.6,3335.4,3190.6,2906.2,2645.4,2303.8,1932,1447.2,614.2,37
538.63,3338.6,3278.2,3162.4,2895.8,2704.2,2383.8,1966,1413.6,557.2,33.8
539.13,3318.4,3337.6,3168.6,2992,2727.6,2354.2,1988.4,1406,606,-22.6
539.63,3333.2,3391,3194.4,2993.2,2757.8,2411.8,1992.6,1400.8,637.8,2.4
540.14,3387.4,3416.2,3205.6,3009,2792.6,2411.4,1969,1450.6,614.6,23.4
540.64,3472.4,3405.4,3318.8,3027.4,2783.2,2453.4,2011.6,1440.8,606.6,-28.6
541.15,3430.8,3418.2,3315.4,3049.6,2790.6,2485.6,2004,1512.4,653.6,6.8
541.65,3497.2,3524.8,3353.6,3074.6,2815.4,2478.2,2057.8,1496.4,634.8,-36.4
542.15,3574.4,3561,3347,3151.2,2835,2490.6,2043.2,1530.2,650.4,-15.4
542.66,3575.4,3554,3374.6,3125,2910.2,2494,2063.6,1528.2,629.2,33
543.16,3599.4,3599.8,3377.6,3171.6,2952.2,2516.4,2129.6,1517.2,634.6,-11.8
543.66,3592.4,3629,3426,3244.8,2948.4,2602.2,2154,1550,621.4,2.4
544.17,3667.2,3648.6,3506,3259,2956.8,2637,2178.4,1519.6,684,-10.6
544.67,3741.8,3698,3477.6,3290.2,2985.8,2603.8,2172.6,1611.4,690.6,6.2
545.17,3785.6,3714.6,3555.8,3332.2,2981.2,2618.4,2215,1613.8,706.2,27.6
545.67,3769,3782.2,3574.6,3377,2996.6,2642.6,2269.8,1615.4,706.6,17
546.17,3816,3815.2,3607,3393.6,3052.8,2712.4,2285.6,1635,734.6,5.2
546.68,3877.4,3806,3726.6,3476.6,3123.4,2720.8,2241,1651.2,727,11.4
547.18,3874.4,3858.8,3741.2,3445,3098.8,2749.4,2291.2,1682.6,726.4,9.6
547.68,3894.2,3924,3755,3418.6,3161.8,2788.8,2357.2,1682.8,723.4,61.2
548.18,3987.6,3925.6,3762.2,3483.6,3205,2798.6,2388.4,1734,733.4,6.2
548.68,4041.4,3972.4,3843.8,3555,3243.6,2830.2,2368.8,1703.8,764.6,-21.4
549.18,4037,3942.2,3837.4,3616.8,3339,2886.6,2401,1774.2,749.4,9.8
549.68,4005.2,3977.4,3834.6,3598.6,3318.4,2896.6,2393.2,1809.4,750.2,16.8
550.18,4148.8,4084.2,3923.6,3600.8,3307,2920.2,2431.4,1858,793,16.8
550.68,4195.4,4178.2,3932.4,3695.8,3446.4,2992.4,2459.4,1851.8,785.8,-9.6
551.18,4210,4187,3947.2,3722,3372.2,3030.4,2484.8,1843.6,795,31
551.68,4238.2,4240.4,4020.4,3748.4,3465,3033.8,2557.6,1889.6,794.2,23
552.18,4349.2,4235.8,4104.6,3754.8,3474.8,3075.4,2570.4,1868.8,773.2,-10.4
552.68,4378.2,4262.4,4136.4,3818.2,3521.4,3079,2569.2,1878.6,835,32.6
553.18,4443.8,4342.2,4187.6,3873,3523.4,3109.8,2593.2,1936,830.6,32.4
553.68,4427,4443.8,4237,3942,3583.2,3182,2652,1882,841.6,12.8
554.18,4416.4,4389,4240.6,4006.6,3634,3160.4,2669.6,1910.6,822,13.2
554.67,4531.2,4507.4,4296.6,4006.4,3673,3231.2,2703,2015.4,867.4,14.8
555.17,4540.4,4537.8,4376.8,4062.6,3725.2,3279.2,2731.2,2083,872.6,-41.8
555.67,4633.8,4613.6,4402.2,4135.6,3760.6,3375,2788,2047.2,872.4,13.6
556.17,4684.8,4632.2,4394,4115.2,3798.4,3339,2792.6,2040.6,905.4,45.2
556.66,4752.8,4683.4,4486.8,4212.2,3836.4,3386.2,2833.2,2019,922.2,9.6
557.16,4812.6,4747.8,4469,4237,3835.6,3455.4,2857.2,2112.8,945.4,17.4
557.66,4832,4863,4567,4302.4,3935.4,3470.6,2914.2,2197.4,937.4,26
558.16,4855.6,4869.2,4615.6,4318.4,3940.4,3500,2958.2,2198.4,956,5.2
558.65,4908.4,4887.4,4692.2,4307.2,3942.6,3582.4,2899.6,2199.8,962,9
559.15,4949.4,4901,4735.2,4407.6,4042.2,3612.8,2981.2,2209,925.2,7.8
559.64,4983.4,4946,4815.8,4440,4036.2,3631.8,3004,2231.6,977.4,15.6
560.14,5104.4,5048,4831.6,4525.6,4163.2,3659.2,3098.2,2234,937,17
560.64,5126.4,5048.6,4882.8,4579,4152.6,3702.4,3085,2281.2,982.6,12.2
561.13,5159.8,5148.6,4893.2,4608,4186.2,3747.4,3118,2290.2,961.8,20.4
561.63,5226.8,5215.6,4950.8,4623.6,4309.2,3782.8,3157.2,2313.2,971.8,27
562.12,5282.6,5218,5026.8,4694.6,4380,3782.6,3193.2,2330.8,1009,2.4
562.62,5321,5213.8,5021.4,4738.2,4373.8,3864.4,3225.4,2325.2,1026.2,23
563.11,5497.4,5349.4,5144.4,4796.8,4360.2,3880,3267.4,2369.4,1040.8,24.6
563.61,5463,5373.8,5117,4817,4472.6,4012.6,3303.4,2415.6,1064.6,11.8
564.1,5480.6,5435,5192.2,4851.6,4502.8,3956.8,3321,2428,1080.4,25.2
564.6,5523,5431.2,5217.6,4898,4503.4,4015,3297,2465.4,1068.4,48
565.09,5573.8,5479.4,5280,4970.4,4576.4,4056.6,3323.2,2496,1054,-8.8
565.58,5527,5540,5323.6,4989.6,4657,4132.2,3365,2496.6,1069.6,22.8
566.08,5611,5506.4,5305.2,4972.8,4597.6,4094,3331.2,2502.2,1064.2,16.4
566.57,5679.6,5546.4,5391.2,5061,4710.2,4163.4,3397.2,2522.4,1121.6,-11.8
567.06,5710.2,5597.8,5400.4,5036.8,4632.6,4110.6,3436,2536,1093.4,18.6
567.56,5652.2,5619,5421.2,5086.2,4666.6,4125.2,3439.8,2535.4,1066.2,27.8
568.05,5729.6,5678.4,5478.4,5106.2,4676.2,4215.6,3511.6,2521.4,1099.6,-13.4
568.54,5800.2,5711.6,5511.4,5131.4,4719.4,4170.4,3453.6,2562.4,1140,28.6
569.03,5833.8,5690.2,5567,5121.2,4752.8,4219,3510.4,2618.6,1142.8,-24
569.52,5784.6,5754.2,5584.8,5153.2,4711,4184.8,3469.2,2587.6,1175.2,11.2
570.02,5867.4,5731.4,5564.8,5167.6,4829.2,4253.2,3567.4,2640.4,1135.4,20
570.51,5847,5742.8,5616,5185.8,4809,4262.2,3558.4,2620,1108.8,17.2
571,5868,5769.6,5634.8,5219.2,4847,4269.8,3569.2,2697.4,1114,19.4
571.49,5907,5832.6,5618.2,5174.2,4821,4260.4,3606.4,2698.6,1087.2,48.6
571.98,5851.6,5809.8,5576.6,5242,4818.2,4284.6,3577.2,2627.8,1153.6,17.2
572.47,5924.6,5845.8,5645.4,5333.8,4858.4,4347,3598,2604.8,1132.6,41
572.96,5976.6,5853.4,5726.4,5310.2,4798.4,4343,3545.4,2668,1150,-19.6
573.45,5907.4,5842.6,5652.2,5296.2,4820.6,4305.4,3566.4,2688.4,1129.6,-8.6
573.94,5923,5853.2,5734,5259.6,4865,4292,3556.8,2669.4,1128,-11.8
574.43,5933,5869.8,5665.8,5316.2,4965.6,4334.2,3587.8,2630.2,1164,6.2
574.92,5922.2,5853.4,5657,5290,4938.6,4300.8,3590,2638.6,1179,2.2
575.41,5976.8,5824.4,5637.8,5292.6,4878.6,4331.8,3637.8,2707,1132.6,15.2
575.9,6040.6,5914.6,5660.2,5319.4,4871.8,4348.2,3609.2,2650.4,1130.8,13.4
576.39,6024,5955.2,5670.4,5319.8,4883.2,4314.4,3636.4,2704.8,1141.8,27.6
576.88,6010.4,5917,5624,5324.2,4920.6,4269.6,3678,2698.6,1155,62
577.37,6048.4,5966.8,5650.4,5341.2,4926.8,4330.2,3587.2,2680.8,1171,-8.6
577.86,6028.2,5924.4,5688.2,5320.4,4891.4,4290.2,3588.2,2693.2,1161.4,0.4
578.35,6002.4,5969.8,5649.2,5340,4854,4330.4,3622.6,2663.6,1145.4,23.6
578.83,5956.8,5908.4,5651,5294.8,4858.2,4305.6,3631.6,2677,1165,1.2
579.32,5940.8,5876.6,5724.2,5299.4,4839.4,4226.4,3659.8,2679,1141.6,1.6
579.81,5961,5893,5621.6,5259.6,4813.8,4298.4,3656.8,2655.8,1109.4,12.2
580.3,5890,5854.6,5647.6,5280.2,4897.8,4289.4,3599.4,2627.6,1091.8,-15
580.78,5908,5884.6,5566.8,5211,4887.8,4284.2,3547.2,2671.8,1128.4,-17
581.27,6002.8,5916.6,5595.6,5230.8,4832,4286.2,3577.6,2626,1139.8,-16
581.76,5955.6,5860.6,5643.8,5262.6,4790.6,4196.8,3566.8,2615.2,1141.4,-7.4
582.24,5946.2,5876.8,5545.2,5256.2,4777.4,4241,3563.8,2616,1148.4,-30
582.73,5909.8,5833.8,5566.2,5218.8,4783.2,4254,3556,2614.6,1140,10.4
583.22,5911.6,5894.8,5636.4,5213.8,4732.4,4282.8,3527.6,2646.4,1121.8,5.8
583.7,5909.2,5840.4,5635.6,5193.4,4798.6,4226.4,3486.2,2555,1088.2,-9
584.19,5929.4,5803.2,5555.4,5206.4,4792.6,4278,3472.2,2567.4,1141.2,32
584.67,5911,5824.8,5582.4,5243.2,4759.4,4247,3480.2,2573.8,1126.6,-11
585.16,5842.4,5792.2,5603,5127.6,4784,4236,3533.2,2592,1149.6,8
585.64,5772.4,5790.2,5572.2,5193.4,4731.2,4277.2,3444.6,2550.2,1136.4,-5
586.13,5791,5701,5553.6,5132.6,4769,4243.6,3485.8,2545.8,1093.4,13.6
586.61,5767.4,5737.2,5522.6,5145,4757.2,4177.2,3458.2,2538.2,1087,17.8
587.1,5820.6,5756.6,5510.2,5142.4,4705.6,4193,3502.8,2563,1082.2,8.2
587.58,5779.2,5698.8,5466,5143,4670.2,4171.8,3476,2566.2,1075.2,-14.4
588.07,5753.6,5689.6,5498,5110.2,4670.2,4163.6,3516.2,2532.4,1055.8,-21.2
588.55,5830.6,5704.8,5459.8,5146,4694.8,4159.4,3394.6,2515.2,1090.8,15
589.04,5812.8,5699.8,5535,5142.6,4685,4202.6,3444.8,2552.8,1054.4,25.8
589.52,5769.2,5734,5526.4,5079.8,4699,4206.8,3436.6,2563.8,1106.4,8.4
590,5758.4,5750.8,5501.2,5127.8,4625,4181,3408.6,2538.8,1067,14
590.48,5733.2,5753.4,5565,5135.2,4671.6,4135.8,3445.2,2530.6,1094.2,3.4
590.97,5814.4,5742.6,5502.4,5115.4,4676.8,4113.4,3400,2521.2,1078.2,18.2
591.45,5828,5721.6,5511.6,5163.8,4650.2,4092.2,3455.4,2494.2,1047.4,-31.8
591.93,5764.8,5772.6,5467.4,5107,4657,4130.2,3445.6,2521.2,1125.6,16.6
592.42,5781.4,5779.2,5454,5136.8,4702.6,4116,3471.6,2494.4,1076.4,-13.8
592.9,5764.6,5712,5483.8,5164.2,4654.2,4099,3498,2507.2,1124,42.6
593.38,5781,5723.4,5483.2,5143.4,4687.4,4148.4,3428.8,2542,1093,8.8
593.86,5756,5762,5481,5156.4,4676.4,4149.4,3432.4,2545.4,1089.6,9.4
594.34,5795.2,5794.4,5546,5188.6,4691.4,4093.6,3397.8,2526.4,1077.2,40.4
594.82,5774.4,5781.6,5490,5133,4712.2,4175.6,3468.2,2497.4,1063.4,34.2
595.3,5807.2,5788,5505,5225,4750,4175.6,3505.8,2567.2,1073.4,4.8
595.78,5878.8,5740.4,5519.2,5196,4776.8,4177.8,3493,2558.8,1059,42.6
596.27,5853,5680.8,5587.8,5217.6,4764.6,4139.6,3507.6,2541.2,1119,24
596.75,5907,5776.8,5596,5263.8,4795.8,4211.2,3497.4,2569,1116.6,43.8
597.23,5923.8,5805.4,5588.8,5189.4,4801.4,4195,3487.6,2606.6,1126.2,-4.6
597.71,5932.8,5830.8,5579.6,5338.4,4821.8,4240,3488.4,2583.6,1096,10.4
598.19,5905.2,5885.4,5637.6,5314,4808,4278.8,3581.4,2593.2,1124,7
598.67,5957.2,5927,5652.4,5316.8,4932.8,4245,3552.6,2560.4,1152.4,6.8
599.14,5993.8,5932,5636.4,5299,4914,4277.4,3565.8,2611.8,1150.6,-26.4
599.62,5985.2,5909,5675.2,5272.2,4853.6,4321.8,3580.4,2576.4,1129.8,11.6
600.1,6011,6001.4,5714,5386.4,4911.2,4341.2,3596.6,2624.4,1144.6,-8.8
600.58,5981.4,5975,5708.2,5300.2,4914.2,4331.4,3528,2641.4,1105.6,12
601.06,6122.8,5983,5762.2,5302.8,4913.8,4319.2,3558.6,2646,1136,-19.8
601.54,6041.2,6014.8,5705.2,5335.6,4899.8,4339.8,3576.4,2630.2,1160.4,2.8
602.02,6045.4,6052.8,5745.2,5347.2,4920.2,4348,3558.2,2680.8,1149.8,-13.2
602.49,6122.6,6079.2,5789.4,5304.6,4898.2,4375.4,3629.6,2674.6,1151.4,7.6
602.97,6143.4,6093.6,5801.6,5395.6,4985,4406.4,3696.6,2669.2,1169.2,-2.6
603.45,6130.2,6058.2,5851,5419.4,4960.8,4400.2,3611.2,2686,1137.4,-12.8
603.93,6141.4,6086.6,5799.8,5454.4,4953,4418.4,3641,2690,1208.8,14.4
604.4,6158.6,6076,5846.6,5451.8,4915.2,4450.2,3642.6,2696.2,1137.2,11.6
604.88,6207.4,6120.4,5944.4,5470.6,4966.4,4455.8,3723,2678.2,1164.4,-1.2
605.36,6204.6,6125.8,5953,5531,4997,4458.6,3695.8,2706.6,1161.6,6.4
605.83,6194,6160,5976.4,5478.2,5035.6,4465.8,3698.2,2714.8,1159.4,-10.4
606.31,6115.2,6210.2,5966.8,5455.2,5022.6,4456.6,3676,2700.4,1154,-12.8
606.78,6199.4,6137.8,5978.2,5622.2,5036,4477.8,3665.2,2755.6,1174,-17.6
607.26,6300.6,6193.6,5966.4,5594.4,5021.8,4568,3707.8,2728.8,1174.6,-3.8
607.74,6249.4,6198,5971.4,5573.4,5060.4,4479.2,3764,2778.8,1152.4,-21.4
608.21,6314.4,6270.6,5966.6,5680.6,5078.8,4515.8,3709.6,2748.4,1215.6,11.6
608.69,6327.2,6244.2,5983.8,5647.4,5082.4,4454.4,3758.6,2715.8,1209.6,27.8
609.16,6337,6289.8,5982,5652,5074.2,4521.6,3729,2766,1194.4,8.6
609.64,6331.4,6374.6,6000,5671,5121.6,4531.8,3757.6,2738.4,1186.6,24.6
610.11,6324.6,6298.2,6070.2,5676,5169.6,4544.6,3749.6,2750.4,1219.2,-14.4
610.59,6391.2,6354.6,5984,5632.2,5167.4,4602.6,3756,2747.2,1201.2,44
611.06,6432.4,6349.6,6050.4,5687.6,5154.8,4549.6,3765.2,2790.2,1245.2,7.8
611.53,6428.2,6404,6060.2,5669.8,5173,4563.6,3737,2758.8,1205.6,8.2
612.01,6493.8,6340,6070.2,5683,5189,4665.4,3789.8,2764.2,1219.2,-20.6
612.48,6454.6,6304.8,6093.8,5687.2,5192.8,4565.8,3793.6,2788.4,1223.6,-14.4
612.95,6489.4,6330.6,6084,5705.8,5286.6,4607.4,3851.8,2780.8,1159,23
613.43,6459.6,6364.4,6076.6,5718.2,5213.2,4617,3825,2823,1226.2,4.8
613.9,6370.2,6358.2,6099,5674.2,5144.4,4511.4,3764.4,2762.6,1216.4,25.8
614.37,6411.6,6339.8,6047.8,5668.8,5177.2,4517.4,3776.8,2795,1226.2,8.4
614.84,6349.6,6339.4,6050.8,5628.2,5245.8,4586,3772.4,2790.2,1209.6,-4.2
615.32,6356.2,6343.8,6043.2,5657,5193,4528.4,3804.6,2844,1225.8,22
615.79,6437.4,6330.8,6066.2,5697.8,5180.2,4547,3821.4,2784.6,1242.8,20.2
616.26,6383.4,6303.2,6153.2,5697.2,5148.2,4613,3843.2,2747.8,1226.6,11.6
616.73,6332.8,6268.4,6144.8,5699.6,5318.6,4554,3859.2,2735.4,1226.8,34.4
617.2,6385.4,6259.2,6099.8,5652.8,5142,4503,3753.8,2768,1203.6,19.8
617.67,6352,6275,6049,5608.8,5132.6,4538.6,3720,2732,1223.4,26
618.15,6361,6276.4,6144.2,5611.4,5178.6,4586,3775,2754.6,1203.4,-1.6
618.62,6323.2,6306.4,6092.6,5591.2,5154.2,4552.6,3706.8,2704.4,1203.8,9.2
619.09,6362.2,6251,6035.4,5588.4,5118.4,4580,3709.8,2715.6,1207.2,27.6
619.56,6361,6303.2,6006,5627,5151.8,4581.8,3733,2721.4,1179.8,-42
620.03,6298.8,6251.8,6033.4,5633,5153,4491,3728.4,2672.2,1167.2,-14.6
620.5,6274.4,6244,6082.4,5708.8,5173.8,4546.6,3688.4,2788.6,1193.4,-0.4
620.97,6422.6,6299,6018.4,5605,5126.2,4510.4,3754.2,2738.6,1223.8,11.8
621.44,6393.6,6323.6,6055.8,5607.6,5111.6,4521.8,3771,2736.4,1208.6,4
621.91,6282.4,6234,6022.2,5555.6,5112.4,4551.2,3738.2,2719,1200.2,26.8
622.37,6300.6,6181.4,5864.8,5571.8,5157.2,4492.4,3699,2664,1175.6,3.2
622.84,6240,6261,5892.4,5517.4,5105.4,4448,3640,2700.8,1178.6,-14.2
623.31,6228.6,6176.2,5917.4,5568.6,5126.4,4516,3659,2709.2,1214,-19.2
623.78,6225,6246.2,5956.2,5516.8,5060.6,4478.2,3689,2714.2,1153.2,17.6
624.25,6219.2,6176.4,5940.2,5452,5035.6,4452.8,3616.8,2662.4,1166.2,0.8
624.72,6208.8,6115.8,5817.8,5456.4,4961.2,4420.2,3645.4,2649.8,1129.6,34.4
625.18,6237.6,6135.8,5866.2,5500.2,4958.4,4410.4,3622.2,2667,1154,-4.6
625.65,6197,6177.8,5799.8,5479,5000.6,4371.8,3601.6,2668.2,1144.6,-17.6
626.12,6180.8,6075.8,5840.8,5464,4997,4396.4,3595.6,2616.2,1150.4,-15.6
626.59,6214.6,6058,5801.2,5450.2,4960.2,4369,3548.4,2636.6,1096,33.6
627.05,6256.4,6055,5782.6,5397.4,4945.2,4317.4,3620.4,2633.8,1105.2,-17.2
627.52,6132,6004.4,5796,5387,4971.8,4355.8,3601.4,2625.4,1126.4,23
627.99,6102.2,5990,5832.8,5306,4961,4302.2,3594.2,2613.6,1166,40.6
628.45,6064.8,5949.4,5784.8,5225.8,4829.2,4309.6,3505.8,2616.8,1091.4,4.2
628.92,5986.4,5980,5707.4,5332.8,4834.6,4309.6,3529,2580.8,1128.2,24.6
629.39,5953.2,5921.2,5681.2,5266.2,4892,4276.6,3540.6,2568.8,1131.8,11.2
629.85,6016.6,5865,5703.4,5225,4780.2,4281.2,3499.4,2558.8,1112.6,13.4
630.32,5926.4,5922.4,5663.8,5274.4,4798.8,4256.8,3484.8,2536.4,1090.4,11.4
630.78,5923.6,5904.4,5606.6,5293.6,4733.8,4224.6,3450.4,2565.2,1109.8,21.8
631.25,5972.6,5910.4,5633,5137.8,4751.2,4172.4,3409.8,2488.6,1109.4,29.6
631.71,5922.2,5799.4,5636.8,5167.2,4748,4159.6,3442,2477.6,1074.2,-1.6
632.18,5889.2,5717.6,5577.4,5217,4740,4142,3419.4,2500.8,1113.2,17.2
632.64,5799.4,5725.4,5537.8,5190.6,4718.8,4113.4,3405,2444,1053.6,7.6
633.1,5767.4,5744,5559.2,5142,4634.8,4113.6,3363,2482.8,1054.4,23
633.57,5792.8,5664.2,5463,5077.2,4608.6,4079.8,3405,2472.6,1104,15.8
634.03,5819.2,5713,5448.4,5045,4665.8,4101,3375.2,2492,1091.8,16.8
634.5,5795.6,5714.4,5414.2,5026.2,4595.2,4075.8,3355.2,2493.6,1088.6,-20.6
634.96,5730,5662.2,5429.6,5009.8,4597.6,4023.8,3264.2,2416,1125.4,30.8
635.42,5691.4,5662,5408.6,5029.2,4610.2,4012.6,3279.6,2458.2,1054.4,-7.4
635.89,5641,5677.2,5356.6,4962,4581.6,3963.2,3227.2,2439.4,1075.2,-5.8
636.35,5619.2,5634.2,5318.8,4991.4,4521.4,3998.8,3289.8,2408.4,1066.6,7.6
636.81,5641.4,5525.6,5312.2,4962,4600.2,4033,3290.8,2434.6,1083.2,29.8
637.27,5620,5523.8,5282.6,4934.4,4541,3957,3280.8,2415,1050.6,11.6
637.74,5612,5486.4,5343,4878.4,4453.8,3965.6,3200.4,2359.4,1078,4.8
638.2,5585.6,5596,5294.4,4831,4438.2,3979.8,3262.2,2409.2,1055,51
638.66,5560.4,5599.4,5279.6,4923.2,4487.8,3947,3215.6,2367.6,1048,30.2
639.12,5547.6,5503,5275.4,4909.4,4436.4,3941.6,3246.6,2349.2,1025.2,12.4
639.58,5566.4,5441.6,5169.6,4885.4,4473,3913,3186.8,2328,1016.2,6.6
640.04,5572.6,5498.8,5225.4,4887.6,4436.6,3893,3172.2,2357.8,1046,11
640.5,5583.4,5477.2,5191.8,4876.8,4445.8,3840.4,3133.2,2324.6,1034.4,5.2
640.97,5533,5426.6,5152.8,4867.8,4331.8,3822.8,3109.2,2278.6,1005.4,-1.4
641.43,5503.8,5442,5148.6,4785.8,4330.6,3831.6,3147.4,2302.4,1007,11
641.89,5425.2,5392.6,5162.6,4828.8,4371.8,3847.8,3136.6,2284.4,1001.2,-7
642.35,5417.8,5300.8,5194.6,4732.6,4305,3839.8,3119.2,2257,997.2,10.8
642.81,5439.4,5327.8,5137,4782.2,4365.2,3866.2,3122.6,2253,1031,2.6
643.27,5399.2,5328.8,5214.6,4753.4,4405,3817.2,3117,2294.8,1001.4,36
643.72,5363.6,5319.2,5207.4,4788.8,4335,3793.8,3070,2287.4,987.2,-1.8
644.18,5361.8,5290,5126,4754.8,4322.4,3837.2,3072.8,2238,985,-11.2
644.64,5333.8,5215.2,5092.8,4689.6,4313.6,3810.2,3037.6,2247.4,976.6,-0.8
645.1,5294.6,5304.2,5104,4700.6,4271.8,3789,3072.8,2243.4,972.4,22
645.56,5252.4,5250.4,5034.6,4715.6,4327.6,3735.2,3086.8,2244.6,983.8,10.4
646.02,5256.4,5238,5131.8,4708.8,4335.8,3762.6,3057.2,2255.6,965.8,30.2
646.48,5320.8,5216.2,5045.8,4615,4249.4,3753.4,3039.8,2253.8,955.2,-14.2
646.93,5407.6,5258.4,5056.6,4611,4233.4,3738.2,3038.2,2244.8,972.4,24
647.39,5375,5197.2,5065.2,4687.6,4213.2,3760.2,3100.8,2265.8,967.6,18
647.85,5337.8,5199.8,5028.8,4692.2,4260.4,3749.8,3007.8,2198.4,973.6,15
648.31,5294.2,5224.4,5069.6,4694.2,4268.4,3749.4,3055.4,2231.6,972.6,13.8
648.76,5296.8,5177.6,5049.4,4639.2,4328,3736,3006.8,2193.4,1001.2,7.2
649.22,5271.4,5215.2,4978.2,4693.2,4257.2,3689.2,3058.2,2195.6,982.8,-12.6
649.68,5308.6,5226.2,5076.8,4706,4215.2,3707.4,3055.6,2230.8,943.8,-2.4
650.13,5329.8,5219.2,5082.2,4724.6,4244.4,3691.4,3087.4,2264,951.4,-16.6
650.59,5300.6,5248.4,5030,4662,4223.6,3727.4,3054.8,2289.2,925.8,12.8
651.05,5262,5216.8,5059.8,4629.6,4179.4,3730.6,3067.4,2201.4,927.6,28.8
651.5,5273.6,5292,5007.8,4658.2,4217.6,3764.8,3051,2224.6,987.8,14.2
651.96,5263.4,5275.6,5074.6,4693.8,4246.4,3701.8,3063.2,2199,970.4,-2.2
652.41,5283.8,5240,5041.8,4672.4,4290.8,3726,3025.6,2194.2,961,12
652.87,5336.8,5234.6,5042,4672.8,4252.4,3689,3010.6,2202.4,956.8,13.8
653.32,5376.4,5277,4998.6,4676.2,4226.8,3725,3059.4,2190,948,33.2
653.78,5327.6,5233.6,4997,4643.8,4206.8,3731.4,3048.8,2266.6,903.6,7.2
654.23,5283.8,5216.4,5130.4,4736,4278.4,3797.4,3019.2,2206.2,952.6,4.6
654.69,5309.4,5205,5029.2,4774,4283.6,3722.6,3051,2238,949.4,6
655.14,5322,5206,5019.4,4817.2,4244.6,3804.6,3054.6,2186.8,940.2,29.6
655.6,5412,5302.2,5179,4784.2,4291.8,3785.8,3042.6,2253.2,934.8,24
656.05,5357.4,5293.8,5087.4,4722,4311.8,3778.4,3121.8,2255.4,983.4,37.8
656.5,5343.2,5273.4,5012,4716.8,4300.6,3715.4,3115,2196.2,975.4,-13.4
656.96,5274.8,5331.8,5032,4710.4,4305,3872.2,3087.2,2264.8,953.8,53.2
657.41,5331,5269,5003.4,4700.2,4341.2,3839,3063.4,2193.6,966.4,23.8
657.86,5339.6,5320,5110.2,4741.8,4315.6,3796.4,3066,2209.6,979.2,19
658.32,5328.6,5274.8,5098.4,4734,4276.4,3798,3153.6,2269.8,999.4,6.4
658.77,5345,5329,5073.8,4737,4313.2,3722,3093.8,2244.2,985.4,8.2
659.22,5388.8,5308.2,5139.2,4719.4,4276.4,3786,3082,2241.4,963,-49.4
659.67,5433,5234.4,5102.2,4751.2,4371.2,3774,3109.6,2235.2,982.2,-0.8
660.12,5393.6,5318.8,5116.2,4811.8,4367.6,3808.8,3135.6,2267,995,-23.4
660.58,5372.2,5355.2,5116.8,4785.8,4346,3795.8,3078,2290.6,973.4,-19.2
661.03,5463.4,5395,5171.2,4851.2,4419.2,3835.4,3115,2302.2,997.4,-12.4
661.48,5423.4,5373.2,5177.6,4897.6,4349,3876.2,3092,2276.4,983.4,21.4
661.93,5503.4,5379.2,5215.4,4849.8,4349.8,3875.6,3205.6,2289.4,1004.2,26.4
