wave leght [nm]\ AOI [dig],0,5,10,15,20,25,30,35,40,45,50,55,60,65
472.31,2,44,-31.8,-16.8,-17.4,-5.6,0.6,43,1.2,-7.6,-2.2,11.4,24,-4.4
472.84,-2.2,-13,0,23.2,29.6,-17.8,-6.6,0.2,35.6,8.8,-17.4,18,-15.4,-13.2
473.37,3.2,-3.4,-15.6,-0.4,-6,10.8,27.8,19.2,26,-17.2,0.8,7.6,-17.8,3.4
473.9,-2.2,-19.4,5.8,-5.6,0.4,12.4,16.2,-10.4,4,18.2,13.2,-8.4,-34.8,7
474.43,-6,22.4,19.6,-9.2,-14.6,-24.2,22.6,14.2,21.4,-3.4,0.4,-27.8,23.8,30.6
474.96,11.4,-30.2,-2.8,2,10.2,25.2,3.2,-3.4,3.2,-20.8,-9.2,-3.6,-3,16
475.49,32,-7.2,13.2,-19.2,14.2,42.2,16.6,-29.4,31.6,6.2,0.4,-3.8,12,22.6
476.02,-15.8,-27.2,0.2,-15.2,-23,4.6,23.2,-15.6,-3.6,-22.2,-17.4,16.4,2.8,12
476.55,-13.4,-34.4,14.8,15.4,-21,4.2,1.4,-28.4,-24.2,-5.2,-26.4,-39.6,-10,-22.2
477.08,-18.2,13.4,-23,21.6,-10.6,-1,7.2,-10.8,18.8,9.8,7,-18,23.4,8.2
477.61,27,-27.6,-44.4,38.6,-25,5.4,4.2,-11,1.2,5,-27.8,-25.8,-10.4,23
478.14,41.4,14.8,6.6,-2,0,-3,12.6,16.2,29.2,18.2,-7.8,-6.4,6.4,2.6
478.67,17.2,-25.8,-5.2,20,-3,-5.2,3.2,-11.4,9.2,14.6,12.6,1.4,-21.8,33.2
479.2,25.2,11.6,10.6,-1.4,-13.6,15.6,13.8,-30.4,-31.4,7.2,-26.4,-35.4,8.6,-7.2
479.73,43.4,12.2,15.2,45.2,-18,7.6,-24.6,-16.6,-35.4,4.2,-4,1.8,-7,8.6
480.25,29.2,-13.2,-35.2,24.8,-14.8,9,-29.8,6.8,-15.4,-3.8,0.6,11.4,-10.8,20.4
480.78,-19.2,4.2,-12,5.2,7.4,16.2,3.6,10.6,10.4,33.2,-15,-36,-0.8,3
481.31,6.8,-18,11.2,6,18,35,26.8,-14.6,9.2,3.2,-22.6,-10.2,-32.6,-5.2
481.84,4.4,15.6,-0.8,12.8,4,27.8,-2.6,-6.2,19.2,3.2,-30.2,5.4,-11.8,-4
482.37,-4,11.4,-9.6,5,-22.2,-3,-9.6,-7,-16.2,25.4,11.6,8.8,8.6,-0.4
482.89,8.4,-6.6,-4.6,-3.2,-2,15.6,-18.4,-24,-9,2.2,-14.4,-20.4,-12.6,-19
483.42,-0.8,-53.8,52.8,11.4,-19.4,8.6,20.4,-18.6,-0.4,-13.6,-35.8,-30.4,-11.2,-27.8
483.95,-29.6,-27.6,-25.2,-14,-15.6,-12.8,6,-22,-8,-54.4,5.2,9.8,-12.6,26.4
484.47,24,22,-27.2,0,-24,-17.6,29.6,10.2,-3,-16,28,49.2,-12.2,1.4
485,3.8,23.2,-2.2,16,5,22.4,18.2,-2.2,-1.6,3,-16.4,-12.2,29.6,-24.2
485.53,29.2,25.2,-22.2,8,-30,13.8,-28.8,20.8,37,20.8,32.2,12.4,-15.6,-15.4
486.05,6.8,-7.4,-2.8,14.8,1.6,16.8,-6.8,13,-5.6,-4.8,-7.8,27,3.8,-24.8
486.58,-50.2,31.4,12.4,4.8,41.4,45.6,17,-19.6,-22.2,-18.4,2.2,22.2,-25.4,-2.8
487.1,36.2,-11.8,-16.6,-25.6,-16,28.2,-33.4,-7.8,-6,-33.2,-11.6,22.8,24.2,-22.2
487.63,-2,-16.6,8.2,17.6,-0.6,1.6,15.8,-3.6,2.2,19.6,19.8,2.6,-7.8,6.2
488.16,23.8,11.2,5.8,-19.6,-6.4,8.6,27.2,-1,10.6,-19.2,5.2,-31.4,-4.6,-21.6
488.68,-2.8,15.8,41.4,35,29.2,24.4,16.2,11.8,-26.6,19,-8.6,18.8,-12.4,-6.4
489.21,-2,7,25.8,7.8,-1.2,16,-17,0.6,-7.4,14,-5.4,-2.2,10,4.4
489.73,4.6,22.6,-18.4,-17,2,14.2,-35.4,20.2,2.4,-5.8,30.8,6.2,0.8,-43
490.25,-16.2,-1.4,-19,-6.6,0.8,-16.6,-36.8,6,14,-22.6,15.8,29.4,29.4,-16.6
490.78,8,8.8,-31.2,-8,-2,4.8,-7.4,-15.6,16,-29.8,16.8,12.2,7,1.4
491.3,3,-27.6,27,-18.8,-12.8,-28,-24.4,-4.8,-10.2,-11,0.6,6,0.2,-13.4
491.83,1.8,-9.8,-22,24.4,-13.6,12.6,4.6,-17,5.8,22.6,-10.2,18.4,-13.4,-10.4
492.35,14,26,-4,2,2.6,2.4,-0.2,-21,5.2,4.8,-9.2,-4.6,-13.8,54.6
492.87,31.8,10.6,38.8,-27.4,-25.8,-6.6,-9.8,-0.8,1.4,22.6,14.8,8.8,-29.6,23.2
493.4,3.8,-7.4,7.6,13.4,-35.8,-11.8,5.2,-22.8,29.8,7.6,4,29.4,-3,22.8
493.92,-21.6,33.6,13.6,2.6,-0.2,8.4,-20,4.4,-7.6,-3.8,-26.6,38.2,-8,16
494.44,5,32.2,-29.2,17.4,8.6,-0.2,-4.8,-21.8,20.6,4.8,-11,25.4,6,-12.2
494.96,-22.6,-13.2,-20.4,-21.8,-40.6,27.2,-25,21.6,15.6,-13.8,-18.2,-4.8,2.6,-20.4
495.49,4.8,-6.4,-2.4,-32.2,-26.4,15.6,-5.4,21.8,-6,-20,1,8.8,-18.6,10
496.01,-24.2,14.4,-40.6,3.6,-11.4,-3.8,12,27.2,-0.8,-19,11.8,2.8,8.2,18
496.53,-11,-16.2,-1.8,0.8,8.4,15.4,19.2,-14.8,-19.8,14.4,-11.6,-16.8,-18.4,6.6
497.05,15.6,-20,16.2,10.4,-6.8,-28.4,25,10.4,42.4,-14.2,-4.6,3.4,-13.8,-4.6
497.57,10.6,-17.2,-1.8,13.2,-3,-11.6,2.8,14.8,-18.6,-0.6,-4,22.4,19.2,24.2
498.1,22.4,-42.4,-2.6,-27.8,-1,1.4,21.4,-12.6,12.4,47.8,3,29.6,-1.6,27.4
498.62,22,13.4,-8.8,-12.2,7.6,43,-16.8,-9.8,6.4,9.2,-4.4,-13.6,3.8,1.4
499.14,21.6,2.8,-23.6,26.2,-7.4,19.4,10.2,22.4,-3.6,-8.8,-6.6,4,0,-10.6
499.66,17,-13.4,-53.4,11.2,-5.4,5.6,-21.4,-5.4,8,-47.2,-17.6,25.2,21,-42.6
500.18,24.8,-30.2,-57.4,13.8,-8.8,4,-11.8,-5.4,2.6,-24.2,6.2,-6.4,11.8,20.8
500.7,27.2,-13.6,4.4,-30.2,11.2,24.2,22.4,0.6,-9.8,-5,-1.8,10,9.2,-4.8
501.22,19.2,30,49.4,-3,0.8,13.2,34.4,8.6,23.6,2.8,20.2,5.2,-12.2,-13.4
501.74,-37,-4.4,13,-28.4,3.8,27.6,-10,28,14.8,15,13.4,-33.6,-3.4,6.2
502.26,-16,23,24,-11.6,6.2,-3.4,10.6,24,3.4,-22,-10.6,3.2,39.6,-8.4
502.78,7.8,-19.2,-4.8,-23.6,1.6,1.8,-17,8.4,7.2,39.4,-16.2,2.8,12.6,1.4
503.3,-4,2.6,-24.2,4.8,-11,-7.6,14.2,4.4,-18.8,-6.8,1.8,3.6,9.6,1.6
503.82,12,9.4,31.4,-6.8,32.8,-5,29.2,16,51.6,-6.2,13.6,7.6,13.4,37.4
504.34,34.8,-27.8,18,-13.6,32.8,4.2,-5.4,11.2,-1.4,22.6,7.4,28.4,-8.8,21.6
504.85,41.8,15.8,-2.6,-7.2,-9.4,-4.6,27,-3,-14.8,-11.4,49,64.2,9.4,2.6
505.37,37.8,-4.6,25.6,-4.4,21.8,-11.6,-7.6,-6.4,1,21.2,29.6,40.8,18.4,-49.4
505.89,12.2,-1.2,-14.8,-14.6,-15.4,-17,-14.2,1.4,7.2,14,28.2,56.6,37.4,-25
506.41,-1,-16,10.2,-13.2,-42.6,-37.4,14.8,10.6,31.4,-5.6,11.2,92.4,38.2,-2.2
506.93,35.4,19.2,-12.4,-16.4,2.2,-7,30.6,5.6,4,1.4,-10.2,148.8,-20,-7.8
507.44,7,7.2,-1.6,-15.2,-20.8,-7.6,24.6,1.2,38.8,11.2,12.6,157.4,12,27.6
507.96,-8.6,-7.8,-1.8,-6.6,0.2,-24.2,-34.2,6.8,-13,-18.6,10.6,224.2,-18,-35.6
508.48,36.2,2.4,36,-27.6,4.8,14,7.8,14.4,-9.6,30.2,5.8,204,-5.8,25
509,-18.8,15.4,12.6,-41.6,-22.6,30.8,-15.4,5.8,-25.8,-18,40.8,243.2,-6.4,-21.4
509.51,31,-12.4,-4.6,-41.8,-13.4,-19.4,-3.2,-7.4,-10,3.8,6.6,134.6,33,-5
510.03,-7,-13.2,-5.4,8.6,-8.2,-18.6,-38,-5.4,3.8,-2,12,163.6,-34.2,-26.6
510.55,-7.2,-32,28,19.2,5.4,24.4,-14.6,12.6,-12,-2.8,27,84,29.2,-20
511.06,0.2,9,11.8,-26,-6,2.4,41.2,11.2,25,34.6,95,51.8,-0.8,4.6
511.58,-6.8,-11.6,16.4,-12.4,6.8,8.8,10.8,15.2,-10.8,34.6,247.2,20.8,23.2,15.4
512.09,0.8,-27.2,27.2,9.8,-6.2,-9.2,0.4,-12.6,10.8,-4.8,464.2,42.4,8.8,-17.2
512.61,11.2,-29.4,-16.8,-14,-1.6,31.8,-3,13.2,7.6,3.4,690.8,32.2,0.6,6.6
513.12,3,-10,-17.2,-2.8,-5.4,3.8,23.2,-3.4,42.6,-1,884,-15.2,-12.4,0.8
513.64,3.8,-16,-22.4,34.2,-24.6,-13.2,-7.4,-15,11.6,-8,1067.4,-6.4,-11,-2.8
514.15,5.2,-23.8,31.2,-13,-7.4,-10.4,-31.2,18.8,-9,-9.8,1146,6.6,7.4,-49.8
514.67,18.4,-7.6,12.4,32.6,-8.6,41.8,18.8,-15,27.8,15.4,1290.4,9.6,4,-16
515.18,20.2,26,-37.4,9.8,26,30.4,1.4,3.2,-15,6,1334.4,-8.8,40.2,18.6
515.7,7,16,-8.6,-7.8,-38.6,12.2,6.2,33,-0.6,49.6,1391.8,-24.2,-6.4,16.2
516.21,-13.2,15.6,-2.6,22.6,-26.8,21,22,20,18.6,-11,1429.2,-20,3.6,3.8
516.73,26.6,6.4,-22,9.6,26.4,-12.8,33.8,12.4,5.2,16,1358,-14.4,4.4,-28.4
517.24,25.4,29.6,-9.6,-5,0.6,23.2,-8.4,-18.4,-6.2,25.4,1156,8.6,-0.6,17.8
517.75,24.8,24.6,-12.8,12.6,-10,10.6,7.2,9.4,33.8,19.8,765.8,1,20,17.6
518.27,-12.6,11,-22,11.4,19.8,0.4,0.4,12.2,11.4,48.8,496.6,-15.4,22,-15.6
518.78,-37,-6.8,-32.6,-3.4,2,-1.8,7.8,-4.4,8.2,81.6,313.6,-7.6,-3.6,3.8
519.29,2.4,20.4,26,8.6,-22.4,-21.8,8.2,-0.2,9.6,238,162.2,-24.2,6.2,-4.2
519.8,-11.6,-19.4,-10.2,23.4,3,-25,-11.6,-23.8,-1.2,558.4,132.8,-27.2,27.2,-29.6
520.32,18,32,7,-18.6,-13.6,9.6,-45,48.2,-34.6,1040.8,89.6,-13.6,-14.2,-32
520.83,27.8,15.8,-25.6,-42.8,11,4.6,-4.2,20.2,-5.4,1680.8,42.6,1.2,-9.2,8
521.34,22.6,-10.2,-54,12.2,-31.8,21.4,-18,17,13.2,2242.2,2.2,-7.8,15.2,19.6
521.85,-3.2,3,-11.2,-6,17.6,8.8,16,-4,12,2529,-15.8,-5.6,-26.2,-7.2
522.36,-7.8,9,-5.6,-27.2,-8.8,25,-7.4,-2.8,6.6,2618.2,0,-23,14.6,2
522.88,16.6,3.2,12,-19.2,9.8,-36.2,-6,26,-25,2702.6,18.8,-2.4,-10.8,11.2
523.39,16.4,4.4,10.4,-17.2,3.8,11.6,-29.8,11,18.4,2689.4,2.8,-11.6,-0.6,-15
523.9,-3,3.8,26.2,-11.6,18,42.6,-10,1.2,33.4,2570.4,-11.2,10.4,25.4,6.4
524.41,-0.4,15.6,11.8,-15.6,20.8,11.4,-6,23.4,31,2416.2,6.8,-6.4,1,-8.2
524.92,17.4,17.6,2.6,-30.6,-18,4.8,9.8,-1.6,43,1941,-13.2,-12.6,-22.6,-9.8
525.43,23.2,29.8,-1.4,-16.8,-1.8,41.2,15.2,48.4,46.6,1390,6.6,-24.6,-7.8,-7.4
525.94,-22.8,0.4,-11.4,2.8,24.2,-41.2,-16.4,12.4,57,898.4,-4.8,-11.4,40.8,1
526.45,-13.8,-14.6,30,-44.8,17,-4,-30.4,15.2,143.6,494.4,15.2,23.6,36,-8
526.96,-5.8,3.2,-15.4,-33,-7.8,-45.2,-23.4,-2,320.8,263.2,3.4,-12.4,14,-1.8
527.47,37,0.2,14.2,-18,10,-18.4,-22.2,-6.2,823,140.4,14.8,47.8,4.4,16
527.98,9.6,11.6,-28.2,15.8,21.2,18,-11,0.8,1552.2,46.4,-0.2,2.6,48.6,-20.8
528.49,10,40.8,3.6,16.6,70.2,-48.2,16.4,12.2,2466,25.4,-12.4,21.2,1.6,-4.6
529,-11,28.4,-3.4,-27.6,20.2,5.8,0.6,-1.4,3142.2,59.4,0.8,6.8,-9.8,44.2
529.5,-12.2,-19.2,13,10.2,-26.8,10.4,17,31.8,3466.8,38.8,19,-19.2,8.6,-17.6
530.01,-0.4,17.8,36,9.6,3.2,-10,34.6,27.6,3510.8,17.8,29,-13.8,-12.6,-31
530.52,18.6,-14.4,-26.2,22.2,2.4,-24.2,-8.4,2.4,3557.6,20.6,-9.4,-33.6,-38.4,-18.6
531.03,-17.6,-5,4,28.4,6.6,-6.8,-22.2,2.2,3605,15.2,17,-23.4,-40.6,-3.8
531.54,6.6,-9,12.2,5,1.2,-4.8,-21.6,-14.4,3519,-12,-6.4,-5.2,9.2,24
532.04,19.2,12,-25,-8.8,2.8,-18.8,-3,-8.2,2874.6,-12.2,0.6,-13.4,-5.6,-29.6
532.55,-23.8,-22.4,-14,-6.6,2.4,7.6,38.4,55.8,1856.4,-10,-33.2,4,5.2,-3.6
533.06,23.2,-1.8,7.6,9.2,-10,12,6.4,62.4,950.2,10.8,-14.8,19.8,-18.4,16.2
533.57,4.2,-4,-3.8,-12.8,11.6,14.8,9.4,109,424.4,5,18.8,4.2,-7.2,33.4
534.07,-28.8,-6.8,-31.4,6.4,2.2,-27.6,-21.2,275,187.8,25.8,-0.4,-15,5.4,15
534.58,-27.6,-4.2,-29.2,29.8,-2.8,0.8,-21.4,719.8,65.2,-30.4,-22.2,15.4,-23.6,-27.2
535.09,24.4,-2.4,12.2,14.8,-6.2,-21.2,17,1525.4,77.2,-3.2,-1.2,-12.2,25.2,22.8
535.59,13.4,24,-19.2,7.4,21.2,5,37.4,2531.4,63.6,13.4,-3,-33.6,-1.4,14
536.1,-37.6,-22.2,-33,0.8,-21,-34.4,-24.6,3375.4,36.6,3.8,15,-0.8,0.6,-8.2
536.6,-61.8,-22,-39.8,39.4,-28.2,-6,22.4,3878.2,10.2,-5,6.2,-7,6,-18.4
537.11,-5.6,31.8,-1.4,8,0,15.4,49.8,4237.2,11.8,13,20,52.8,-3.2,2.4
537.62,-30.6,9.6,-25.4,30.8,35,28.6,51,4671.2,-13,11,21.2,-18.6,-9.8,-12.2
538.12,-50.6,-22.4,-23,26.8,0.4,-10.8,26.8,4684.8,-16.8,-25,-44,-5.6,-6.8,-11.4
538.63,-4,-51.6,-26.8,7.8,22.4,21.6,66.4,3875,-19.4,-10.8,-4.4,-21,20,14.8
539.13,5.2,-7.8,-11.2,0.4,6.6,29.8,182.2,2515.2,21.6,-7.2,-25.6,4.8,16.6,27.8
539.63,31.2,18.8,10.4,6,24.6,-43.4,421.2,1207.8,13.4,-15.8,-1,-13,-3.4,-6
540.14,14.2,0.2,24.8,-4.8,43.2,8.4,969,525.4,23.2,21.2,9.4,1.8,7.8,-4.8
540.64,-14,7,-49.2,-2.6,1.8,3.6,1983.4,185.6,15.2,2,-50.4,-1.8,-2.6,-3
541.15,4.4,-4.6,-12,-12,-4.8,-1.2,3261.6,136,24.2,-44,19,21.6,-0.8,10.8
541.65,9.8,3.2,19,-14.8,-31.8,29.4,4313.2,56.2,6.4,-9.2,-8.8,21.6,-23.6,25.2
542.15,15.2,-4.2,15.8,38.6,-0.6,16.4,5163.2,-12.6,10,-33.4,25.6,35.4,-8.8,59.8
542.66,13,49.4,2.4,10,8.8,19,5647.8,29,15.8,-17.4,44.2,7.8,0,-6.2
543.16,13.4,-21.6,-9,-23.8,10.6,32.2,5468,37.4,37.8,51.4,-7,4,20.6,9
543.66,33.6,20.4,11.8,23.4,-1.8,94,4425.6,13.4,-13.4,24.2,3.4,-14.8,-4,-22.4
544.17,5.4,3.8,20,18.2,43.6,99,2738.6,41,-12.6,-34.6,-13.4,-6.6,-46.2,16.2
544.67,14.4,17,-10.6,-4.6,4,187.8,1264,24.8,8.2,-41,11.6,-39.4,-35.4,8.8
545.17,10,36.4,9.4,14.2,39.2,462.4,455.4,33,25.4,14.6,-5.2,-12.2,-23.4,27.2
545.67,8.2,-9.4,13.2,14.2,20.2,1194.8,166,18.8,-16.6,-26,6,-1.4,7.2,57.8
546.17,7.6,-19,-24.4,-8.2,4,2643.4,67.6,26.4,-9.8,-8,12.6,-5.8,38.2,62.6
546.68,26.6,16.6,-3,-26.4,27.8,4480.2,76.2,14.6,-5.8,-29.4,-1,5.8,-2.8,62.8
547.18,-15.6,1.4,-19.4,-17.2,6.4,5955,75.2,12,15.4,-9.8,11.4,10,-43.6,67.2
547.68,12,11.6,5,21,15.4,6623.8,28.6,11.4,9.6,-11.2,-4.2,-19,-25,100.2
548.18,17,31.6,13.2,-1.2,36.6,6448.8,32.6,-1.2,6.6,-9.6,-6,11.8,11.4,108
548.68,-18,19.2,-8.4,8.2,56.2,5545.2,5.6,11.2,28,-9,-5,10.4,10,126.6
549.18,-16.8,21.4,23.4,-1.8,71.8,3658.6,26.4,30.8,7.6,11,30,10.6,2,115
549.68,-1,26.8,-3.8,32,191,1762,11,11.8,-38.2,7.2,-6,16,-20.2,94.4
550.18,19.2,13.2,9.6,-40.2,569.4,635.2,49.4,25,-3.8,-6.4,-25,7,-4,96.8
550.68,65.2,-12.2,-7.6,-21.6,1656.2,260.6,0.2,34,-0.6,21,16.6,-4.2,8,75.8
551.18,29,27.4,-52,28.8,3653.2,140,5.8,19.8,-7.4,-32,-27.2,3.4,22.8,22.4
551.68,10.4,15.2,11.2,66.2,6034.6,58.2,0.2,7.2,12,0,12.4,14.4,14.2,67.6
552.18,14,4.8,18.8,61.8,7463.4,55.4,10.8,9.8,38.6,-15,-9.6,10.8,-8.8,73
552.68,39.2,7.2,27.4,88.6,7545.4,35,-5.4,-6.2,-3.8,18.2,6.8,-35.6,-26.2,58.8
553.18,35.6,18,-6.2,160.8,7088,-24.8,-24.2,5.6,18,20.8,-35.4,-3.2,27.6,12.2
553.68,42,5,38.8,472.8,5467.8,-24.6,-8.8,-3,14.4,11.6,-7.2,3.2,-9,25.2
554.18,-0.2,31.6,67.6,1510.6,3179.2,26.6,9.8,-13,-9,13,16.8,-1.2,-38.4,16.6
554.67,45.4,27.8,64.2,3699,1208.8,22.2,39.8,-60.8,12.4,-28.6,7.8,-8.4,28.6,7.4
555.17,17.8,9.6,175.4,6442.4,453,11.4,33.8,-11.6,20,2.2,34.2,38.4,-35.6,7.6
555.67,24.6,50.6,452.2,8088.8,157,11.4,31.2,26.8,34.2,-22.8,-0.4,19.2,25.4,37.8
556.17,66.2,95.8,1346,8268.8,104.4,35.6,32.2,30.2,-15.8,-25.6,-20.2,-21.4,-7.2,28.6
556.66,120,199.2,3709,7929.2,47,25.8,-18.6,-23.6,7.2,-12.2,0.6,3.2,-11.2,44
557.16,276.6,572,6721,6483.8,54.8,5,-3.8,-32.2,1.6,-5.2,20.8,-34.4,-15.2,48.6
557.66,861.2,1752.2,8600.6,3808.6,40.2,27.2,8.8,13,-10,-22.8,18.4,-8.8,22.4,3
558.16,2676.6,4334.2,8997,1489.2,45.2,9.8,4.6,-36.8,-38.6,-29.2,23.8,-3.4,8,24.2
558.65,5757.4,7487.4,8635.8,446.4,40.6,-1.4,-0.8,11.8,11,-9.6,-2.2,8.4,10.8,-0.8
559.15,8513.4,9317.8,7276.4,195.6,35.6,-12.2,10.4,-14.6,25.8,9.8,1.2,26.6,-11,7.8
559.64,9484.4,9350,4469,99.6,3.4,-18,6.4,16.4,26.4,6.8,-8.2,-8,2.4,-15.6
560.14,9208.2,8888.8,1779.8,35.4,15.4,5,24.4,6.4,-19.6,8.4,-31.4,9.6,-4.2,23.2
560.64,8477.2,7304.8,532.6,56.4,36.2,-9.6,22.6,-20.6,-19.6,16.4,-48.4,4.6,56,8.2
561.13,6317,4317.8,215.8,22.4,25,30.2,-6.4,12.8,17.2,-3,9,12.2,54.2,4.4
561.63,3103.2,1593.4,118,22.8,21.2,1.4,1,-30.4,-33.8,4.2,8.6,-2.8,54.6,14.6
562.12,991.2,524,79.2,12,16.2,-16.4,11,-8.4,12.2,10.4,-15.8,7,20.8,10.6
562.62,353.8,236.6,78.2,21.2,-15.6,30.6,-8.8,-37.2,-6.6,43.2,8.4,9.2,79,15.4
563.11,140.4,89.6,43.2,35.8,-2.8,-1.4,2.6,-1.8,-0.2,7.2,28.6,0,59.6,14.4
563.61,81.2,58.4,20.2,22.8,49.4,-10.6,46.2,-15.6,-14.2,-27.8,6.6,3.6,54.8,16
564.1,53,57.4,12.4,28,14.8,5,15,5.6,-2.2,8.4,-8.2,-2.4,-14.4,22.8
564.6,13.4,27.6,0.6,8.4,35,26.2,15.2,-22.8,-1.6,-3.8,29.2,28.4,48.2,11.2
565.09,29.6,21.4,14.8,6.8,25.2,-3.2,-15.4,-4,1,0.8,-1.4,-3.6,36,16.6
565.58,34,18,56.8,2.4,-8.6,13.8,2.4,-5.8,4,-24.8,2,5.8,7.4,44
566.08,24.2,34.6,-0.2,-19,21.6,-11.8,46,7,-4,-12.4,-20.8,-11.6,15.8,29.8
566.57,36,21.4,4.6,-33.8,25,-11.6,24.2,24.4,-13,-13.2,17.8,-30,9.6,25.8
567.06,38.2,10.6,1.4,-11.8,-12.8,-9,1.2,3,17.8,-13.4,-6.2,-39.4,4.8,25.6
567.56,7.6,9.2,-10.2,-15.6,10,21.6,-13.2,-20.4,42.6,-27.8,18,7,-34,14
568.05,49.4,-0.2,3.8,-30,35,31.8,2.8,-22.6,-12.8,13,5.2,2.6,-2.2,53.2
568.54,40,-3.6,-7,-23.6,21,3.8,-3.4,-43,11,53,-4.8,9.6,21,55.6
569.03,47.2,2.4,37,-12.8,38.4,-31.4,-3.4,-28.2,12.8,-27,14.2,-20.6,10.2,14.2
569.52,-13.2,-1,14,-30.2,-22.2,-4.8,-18.2,-9.2,12.8,25.2,42.6,41,24.2,7.2
570.02,5.2,-10,-20.4,15.6,-2.4,3.2,-1,-4.8,-1.8,11.6,6,11.2,30.8,-5.4
570.51,4,29.4,8,-26.8,-15.8,42.6,-7,-22,16.6,13.6,1.2,-15,10.8,20
571,28.2,5.6,25,0.4,31,37.6,15.2,-8.6,18.2,40.2,18.2,-3.2,-19.6,28.6
571.49,-7.2,14.6,-11.4,5.4,16,-4.4,-20.8,21.2,-8.6,-5.2,-2,-6.6,4,31.8
571.98,-8,13.8,6.2,38.4,-16,-9.4,9,13.2,6.2,-6.2,-17.6,-34.2,-34.4,47.8
572.47,-7.8,19.6,34,-4.6,21.8,-24.8,23.6,-1.8,-28.2,-6.8,14.4,-19,58.6,30.8
572.96,29.2,22,-22.4,-2,12.8,-27.6,7.2,18.8,-8,-19.6,6.4,7.6,12.2,-8.8
573.45,4,28.8,-27.6,17.6,20.8,-35.6,2.2,-18.4,27.4,-8,15.6,-16.6,35.8,35
573.94,-11.8,-20.2,-13.8,18.6,-26.6,-27.2,-5.8,28.6,8.2,-29,-33.6,40.8,-6,-2.2
574.43,-2.2,-4,10.8,17.6,-7,5.6,0.4,-14.6,-18.2,-25.8,-24.2,19,24,3.2
574.92,32.2,15,-9,7.2,33.6,-29.2,29.4,20,-0.8,22.4,-0.6,-14.4,2.8,26
575.41,-27.8,19.4,-9.4,-11,18.6,-9.2,-1.6,19.2,14.2,24.4,-21,15.2,25.2,16
575.9,24,10.6,18.2,2.4,6.6,9,11.8,8.8,-5,-21.2,2,43.4,-33,-13.4
576.39,-12.8,30.2,-11.8,26.6,0.6,36,10.8,19.6,-10,-42.8,-11.8,49.6,9.4,13.4
576.88,5.4,-7,7,24.4,-1.6,-4.4,-24.4,-13.4,-10,23.4,-2,-5,-14.8,2.2
577.37,-3.6,-15,-13.8,3.8,6.2,-15,1.4,-15.8,-17.4,49.2,-38.2,-8.6,-1,19.8
577.86,4.8,-6.8,2.6,-32.2,15.2,0.4,-10.4,29.6,16.8,-1.2,8.2,66.8,17.8,-8.2
578.35,1.4,24.8,2.6,25.6,-10,-6.8,20.4,39.8,23.2,-7.4,9.4,43.4,4.8,15
578.83,-5,4.6,13.6,3.4,-8.4,16.8,3.6,9.8,-24.2,-11.8,25,5.6,6.2,-19.4
579.32,-27.4,-7.2,12.4,34,-9.4,-22.8,1.4,0.6,-8.4,-12.4,-11,-1,25.4,-54.2
579.81,-20,8.2,15.2,-1.8,13.2,-33.8,-10.4,-8.4,-14.8,-26.2,32.6,14.6,-5,-8.8
580.3,-1.4,-16.4,6.4,-8.8,-0.4,-13.2,15,13.6,-2,11.8,42.8,-2,16.6,20.4
580.78,8.6,21,-10,-4.8,-14.8,2,11,21.2,18,-9.2,32.2,-23.2,-24.8,-13
581.27,-1.4,13,-16.6,-29.4,-9.8,4.4,19.2,3.2,-11.8,3.8,16.2,14.8,32,14.6
581.76,16.8,-14.8,9.2,5.6,5.6,-4.2,-4.8,37,-19.4,-27.6,-22,2.4,-13.6,-0.2
582.24,-7.6,-13.2,10.4,16.4,-13.6,-22.8,-38.6,2.2,8.8,-30,-2,5.4,14.4,-1.4
582.73,-2.6,25.4,12,-10.2,-15.8,-3,-19,-19.8,21.2,16.6,5.6,-10.6,12,-37.2
583.22,2,-6.8,-11.6,0.2,-26.2,-5.2,-32.4,-32.2,15.6,9.2,13.6,11.4,6,13.4
583.7,22.8,-11.4,-5,-35.4,13.6,21.2,-4.8,9.4,9.6,-3,-21,-24,5.8,-3.8
584.19,0.8,7,-29.6,0.8,-17.2,28.8,19,14,7.4,-5,-40,5.2,-6.2,-8
584.67,-27.4,-33.8,-18,13,0.2,-5,25.4,-7.2,33.2,-7.2,10.8,23.4,-7.6,57.4
585.16,-26.2,1.4,20,-21.6,6,-20.6,-7,2.4,26.4,-21.2,27.6,-2.6,30,4.2
585.64,8.6,-8.8,-14.4,13.8,25.2,-18,-2.4,1,39.4,-15,-6,28.6,2.6,-2.8
586.13,16,-8.6,20.6,-10,-3.4,-10.6,11.4,-11.6,21.6,-25.8,-36.4,-33.2,47.8,-28.6
586.61,26.6,-12.6,-30,1.8,-2.2,-12.2,-10.6,-11.6,27,5.4,-8,-2.2,4.6,-7.2
587.1,15.2,32.8,-29.6,41.2,11.4,-32,10.4,2.6,21.8,5.8,10.2,3,38.8,3.6
587.58,-2.2,-18.4,13,10.8,16.6,0.2,24,14.8,-7,26.6,7.8,-16,8.8,26
588.07,18.2,13.2,20.6,-18,30.4,-1.6,-16.2,-20.4,21.2,-21.4,2.6,3.4,3.6,-31.2
588.55,28.4,23.6,7.4,-1,-0.2,-0.2,-13.2,19.2,-13.4,6,-2.6,-11.4,28.6,5
