Column,Wavelength_max,Max_Transmittance
0,559.64,9484.4
5,559.64,9350.0
10,558.16,8997.0
15,556.17,8268.8
20,552.68,7545.4
25,547.68,6623.8
30,542.66,5647.8
35,538.12,4684.8
40,531.03,3605.0
45,522.88,2702.6
50,516.21,1429.2
55,509.0,243.2
60,562.62,79.0
65,548.68,126.6
